location.length,location.shape.links,incidentDetails.id,incidentDetails.hrn,incidentDetails.originalId,incidentDetails.originalHrn,incidentDetails.startTime,incidentDetails.endTime,incidentDetails.entryTime,incidentDetails.roadClosed,incidentDetails.criticality,incidentDetails.type,incidentDetails.codes,incidentDetails.description.value,incidentDetails.description.language,incidentDetails.summary.value,incidentDetails.summary.language,incidentDetails.junctionTraversability,incidentDetails.vehicleRestrictions,incidentDetails.comment
43.0,"[{'points': [{'lat': 51.50099, 'lng': -0.1255}, {'lat': 51.50099, 'lng': -0.1256}, {'lat': 51.501, 'lng': -0.1258}], 'length': 21.0}, {'points': [{'lat': 51.501, 'lng': -0.1258}, {'lat': 51.50102, 'lng': -0.12611}], 'length': 22.0}]",42474196071343602,here:traffic:incident:42474196071343602,42474196071343602,here:traffic:incident:42474196071343602,2024-10-21T07:00:00Z,2024-10-30T18:00:00Z,2024-10-23T14:08:28Z,False,major,construction,[701],At Westminster - Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 21/10/2024 - 30/10/2024 (UK Power Networks)
66.0,"[{'points': [{'lat': 51.50347, 'lng': -0.10603}, {'lat': 51.50337, 'lng': -0.10641}], 'length': 29.0}, {'points': [{'lat': 51.50337, 'lng': -0.10641}, {'lat': 51.50322, 'lng': -0.10688}], 'length': 37.0}]",4459752402016628804,here:traffic:incident:4459752402016628804,4459752402016628804,here:traffic:incident:4459752402016628804,2024-10-21T23:00:00Z,2024-10-24T22:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],At Waterloo - Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
41.0,"[{'points': [{'lat': 51.51777, 'lng': -0.10761}, {'lat': 51.51767, 'lng': -0.1077}, {'lat': 51.51759, 'lng': -0.10777}], 'length': 23.0}, {'points': [{'lat': 51.51759, 'lng': -0.10777}, {'lat': 51.51754, 'lng': -0.10781}, {'lat': 51.51744, 'lng': -0.10785}], 'length': 18.0}]",158590366832525468,here:traffic:incident:158590366832525468,158590366832525468,here:traffic:incident:158590366832525468,2024-10-19T07:00:00Z,2024-11-03T23:59:00Z,2024-10-24T17:41:29Z,False,critical,construction,[701],At Ec4 - Road construction,en-US,Road construction,en-US,,,
44.0,"[{'points': [{'lat': 51.51237, 'lng': -0.13387}, {'lat': 51.51261, 'lng': -0.13336}], 'length': 44.0}]",636894781547491981,here:traffic:incident:636894781547491981,636894781547491981,here:traffic:incident:636894781547491981,2024-08-19T07:00:00Z,2025-02-12T17:00:00Z,2024-10-23T14:08:36Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,
88.0,"[{'points': [{'lat': 51.51679, 'lng': -0.13711}, {'lat': 51.51702, 'lng': -0.13723}, {'lat': 51.51728, 'lng': -0.13748}], 'length': 61.0}, {'points': [{'lat': 51.51728, 'lng': -0.13748}, {'lat': 51.51742, 'lng': -0.13761}, {'lat': 51.51744, 'lng': -0.13773}], 'length': 27.0}]",2583121831849663967,here:traffic:incident:2583121831849663967,2583121831849663967,here:traffic:incident:2583121831849663967,2024-10-22T23:00:00Z,2025-11-10T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 802]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
173.0,"[{'points': [{'lat': 51.51928, 'lng': -0.10308}, {'lat': 51.51891, 'lng': -0.10428}], 'length': 93.0}, {'points': [{'lat': 51.51891, 'lng': -0.10428}, {'lat': 51.5186, 'lng': -0.10532}], 'length': 80.0}]",2034471194393292576,here:traffic:incident:2034471194393292576,2034471194393292576,here:traffic:incident:2034471194393292576,2024-09-25T23:00:00Z,2024-11-24T23:59:00Z,2024-10-24T16:51:42Z,True,critical,roadClosure,"[401, 807]",Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
112.0,"[{'points': [{'lat': 51.50718, 'lng': -0.10552}, {'lat': 51.50819, 'lng': -0.10546}], 'length': 112.0}]",491537526138055736,here:traffic:incident:491537526138055736,491537526138055736,here:traffic:incident:491537526138055736,2024-10-17T23:00:00Z,2024-10-30T23:59:00Z,2024-10-24T15:54:37Z,False,low,construction,"[708, 807]",Temporary traffic signals,en-US,Temporary traffic signals,en-US,,,
85.0,"[{'points': [{'lat': 51.5144, 'lng': -0.14918}, {'lat': 51.51419, 'lng': -0.14909}], 'length': 24.0}, {'points': [{'lat': 51.51419, 'lng': -0.14909}, {'lat': 51.51367, 'lng': -0.14882}], 'length': 61.0}]",4471677712441167523,here:traffic:incident:4471677712441167523,4471677712441167523,here:traffic:incident:4471677712441167523,2024-06-03T23:00:00Z,2027-04-29T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 802]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
90.0,"[{'points': [{'lat': 51.51135, 'lng': -0.14609}, {'lat': 51.51144, 'lng': -0.14563}], 'length': 33.0}, {'points': [{'lat': 51.51144, 'lng': -0.14563}, {'lat': 51.51162, 'lng': -0.14486}], 'length': 57.0}]",3223054417744305548,here:traffic:incident:3223054417744305548,3223054417744305548,here:traffic:incident:3223054417744305548,2024-09-10T07:00:00Z,2024-10-28T18:00:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
39.0,"[{'points': [{'lat': 51.50306, 'lng': -0.10738}, {'lat': 51.50322, 'lng': -0.10688}], 'length': 39.0}]",3375961694573010225,here:traffic:incident:3375961694573010225,3375961694573010225,here:traffic:incident:3375961694573010225,2024-10-21T23:00:00Z,2024-10-24T22:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],At Waterloo - Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
99.0,"[{'points': [{'lat': 51.50056, 'lng': -0.13183}, {'lat': 51.49992, 'lng': -0.13216}, {'lat': 51.49973, 'lng': -0.13224}, {'lat': 51.49971, 'lng': -0.13225}], 'length': 99.0}]",891659330714781060,here:traffic:incident:891659330714781060,891659330714781060,here:traffic:incident:891659330714781060,2024-06-09T23:00:00Z,2024-11-30T17:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 520]",Road construction,en-US,Road construction,en-US,,,
59.0,"[{'points': [{'lat': 51.5164, 'lng': -0.1196}, {'lat': 51.51661, 'lng': -0.11881}], 'length': 59.0}]",2256117085788016518,here:traffic:incident:2256117085788016518,2256117085788016518,here:traffic:incident:2256117085788016518,2024-10-14T07:00:00Z,2024-10-24T22:59:00Z,2024-10-24T17:44:27Z,False,critical,construction,[807],Gas pipeline work,en-US,Gas pipeline work,en-US,,,
20.0,"[{'points': [{'lat': 51.50515, 'lng': -0.11623}, {'lat': 51.50504, 'lng': -0.11634}, {'lat': 51.505, 'lng': -0.11638}], 'length': 20.0}]",818319254648473164,here:traffic:incident:818319254648473164,818319254648473164,here:traffic:incident:818319254648473164,2024-09-10T07:00:00Z,2024-11-03T18:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 708]",Road construction,en-US,Road construction,en-US,,,
50.0,"[{'points': [{'lat': 51.50937, 'lng': -0.13744}, {'lat': 51.50898, 'lng': -0.13708}], 'length': 50.0}]",4554060987542136317,here:traffic:incident:4554060987542136317,4554060987542136317,here:traffic:incident:4554060987542136317,2024-10-24T07:00:00Z,2024-10-25T17:00:00Z,2024-10-24T07:13:05Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 24/10/2024 - 25/10/2024 (Westminster City Council)
11.0,"[{'points': [{'lat': 51.51664, 'lng': -0.11866}, {'lat': 51.51661, 'lng': -0.11881}], 'length': 11.0}]",1664679482745375255,here:traffic:incident:1664679482745375255,1664679482745375255,here:traffic:incident:1664679482745375255,2024-10-14T07:00:00Z,2024-10-24T22:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 807]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
